timestamp,stressor,value,result,success,fallback_used,cpu,mem,prediction,confidence,injected_by_ai
2025-09-02T18:00:00Z,none,42,84,1,0,12.5,35.2,1,0.92,0
2025-09-02T18:01:00Z,latency,50,100,1,0,18.3,40.1,1,0.85,0
2025-09-02T18:02:00Z,failure,30,45,1,1,22.7,38.9,0,0.41,1
2025-09-02T18:03:00Z,timeout,60,90,1,1,25,42.3,0,0.33,1
2025-09-02T18:04:00Z,none,35,70,1,0,10.2,30.5,1,0.95,0
2025-09-02T18:05:00Z,latency,48,96,1,0,19.8,39,1,0.88,1
2025-09-02T18:06:00Z,failure,20,-1,0,0,27.1,45.6,0,0.29,1
2025-09-02T19:26:56.605309,timeout,10,15,1,1,0,19.7,1,0.5,0
2025-09-02T19:27:08.283403,failure,2,3,1,1,0,19.8,1,0.5,0
2025-09-02T19:27:20.530437,timeout,4,6,1,1,0,19.9,1,0.5,0
2025-09-02T19:27:35.207166,latency,1.5,3,1,0,0,20.3,1,0.5,0
2025-09-02T19:27:39.786739,timeout,0,0,1,1,0,20.3,1,0.5,0
2025-09-02T19:27:44.604466,timeout,0,0,1,1,0,20.2,1,0.5,0
2025-09-02T19:27:49.579396,failure,-5,-7.5,1,1,0,20.2,1,0.5,0
2025-09-02T19:27:51.441763,none,1.5,3,1,0,0,20.2,1,0.5,0
2025-09-02T19:28:01.986539,timeout,-5,-7.5,1,1,0,20.2,1,0.5,0
2025-09-02T19:28:05.585313,timeout,7777777,11666665.5,1,1,0,20.3,1,0.5,0
2025-09-02T19:28:08.806674,failure,7777777,11666665.5,1,1,0,20.3,1,0.5,0
2025-09-02T19:28:12.831623,timeout,-5,-7.5,1,1,0,20.2,1,0.5,0
2025-09-02T19:28:15.488066,timeout,7777777,11666665.5,1,1,0,20.2,1,0.5,0
2025-09-02T19:28:16.592827,none,0,0,1,0,0,20.2,1,0.5,0
2025-09-02T19:28:17.067995,none,-5,-10,1,0,0,20.2,1,0.5,0
2025-09-02T19:28:25.071808,latency,7777777,15555554,1,0,0,20.1,1,0.5,0
2025-09-02T19:28:29.921476,latency,1.5,3,1,0,0.8,20.1,1,0.5,0
2025-09-02T19:28:34.299734,timeout,1.5,2.25,1,1,0,20.1,1,0.5,0
2025-09-02T19:28:38.549020,latency,0,0,1,0,0,20.1,1,0.5,0
2025-09-02T19:28:41.414964,latency,7777777,15555554,1,0,0,20.1,1,0.5,0
2025-09-02T19:28:43.395439,latency,0,0,1,0,0,20.1,1,0.5,0
2025-09-02T19:28:46.476128,timeout,10,15,1,1,0,20,1,0.5,0
2025-09-02T19:28:51.389904,failure,1.5,2.25,1,1,0,20.1,1,0.5,0
2025-09-02T19:28:53.794941,latency,10,20,1,0,0,20.1,1,0.5,0
2025-09-02T19:28:55.563561,none,7777777,15555554,1,0,0,20.1,1,0.5,0
2025-09-02T19:29:00.722728,latency,7777777,15555554,1,0,0,20.1,1,0.5,0
2025-09-02T19:29:05.663453,failure,0,0,1,1,0,20.1,1,0.5,0
2025-09-02T19:29:07.708595,latency,7777777,15555554,1,0,0,20.2,1,0.5,0
2025-09-02T19:29:11.306247,failure,7777777,11666665.5,1,1,0,20.2,1,0.5,0
2025-09-02T19:29:14.489612,latency,1.5,3,1,0,0,20.2,1,0.5,0
2025-09-02T19:29:22.116628,latency,7777777,15555554,1,0,0,20.2,1,0.5,0
2025-09-02T19:29:26.453179,latency,7777777,15555554,1,0,0,20.2,1,0.5,0
2025-09-02T19:29:29.349280,none,1.5,3,1,0,0,20.1,1,0.5,0
2025-09-02T19:29:33.581448,failure,7777777,11666665.5,1,1,0,20.1,1,0.5,0
2025-09-02T19:29:38.682539,none,-5,-10,1,0,0,20.1,1,0.5,0
2025-09-02T19:29:42.688221,failure,-5,-7.5,1,1,0,20.1,1,0.5,0
2025-09-02T19:29:44.634498,none,10,20,1,0,0,20.1,1,0.5,0
2025-09-02T19:29:49.700272,failure,0,0,1,1,0,20.1,1,0.5,0
2025-09-02T19:29:54.510413,timeout,0,0,1,1,0,20.1,1,0.5,0
2025-09-02T19:30:00.337079,failure,-5,-7.5,1,1,0,20,1,0.5,0
2025-09-02T19:30:04.665175,latency,1.5,3,1,0,0,20.1,1,0.5,0
2025-09-02T19:30:07.876136,latency,1.5,3,1,0,0,20.1,1,0.5,0
2025-09-02T19:30:15.304875,failure,0,0,1,1,0,20.1,1,0.5,0
2025-09-02T19:30:18.700138,failure,7777777,11666665.5,1,1,0,20.1,1,0.5,0
2025-09-02T19:30:21.609115,none,0,0,1,0,0,20.1,1,0.5,0
2025-09-02T19:30:23.752250,none,-5,-10,1,0,0,20.1,1,0.5,0
2025-09-02T19:30:29.947126,none,0,0,1,0,0,20,1,0.5,0
2025-09-02T19:30:35.808507,failure,0,0,1,1,0,19.9,1,0.5,0
